2015-01-15 11:38:47 [com.wakanda-software.advanc] INFO - Users and groups directory opened
2015-01-15 11:38:47 [com.wakanda-software.advanc.advanc] INFO - Datastore opened
2015-01-15 11:38:47 [com.wakanda-software.advanc.advanc] INFO - Publication settings loaded: {"hostName":"localhost","listen":"any","port":8081,"securedPort":443,"mode":"http"}
2015-01-15 11:38:47 [com.wakanda-software.advanc.advanc] INFO - "advanc" project opened
2015-01-15 11:38:48 [com.wakanda-software.advanc.ServerAdmin] INFO - Publication settings loaded: {"hostName":"localhost","listen":"any","port":8080,"securedPort":4433,"mode":"bothButHTTPLocalOnly"}
2015-01-15 11:38:48 [com.wakanda-software.advanc.ServerAdmin] INFO - "ServerAdmin" project opened
2015-01-15 11:38:48 [com.wakanda-software.advanc] INFO - "advanc" solution opened
2015-01-15 11:38:48 [com.wakanda-software] INFO - Starts "advanc" solution
2015-01-15 11:38:49 [com.wakanda-software.advanc.ServerAdmin] INFO - >buildInit() - mode :  release
2015-01-15 11:38:49 [com.wakanda-software.advanc.ServerAdmin] INFO - >buildInit() - minified core files detected - try to add package definition to storage
2015-01-15 11:38:50 [com.wakanda-software.advanc.ServerAdmin] INFO - >buildInit() - added package definition to storage
2015-01-15 11:38:50 [com.wakanda-software.advanc.ServerAdmin] INFO - <buildInit()
2015-01-15 11:38:50 [com.wakanda-software.advanc.ServerAdmin] INFO - HTTP Server started
2015-01-15 11:38:50 [com.wakanda-software.advanc.ServerAdmin] INFO - "ServerAdmin" project started
2015-01-15 11:38:50 [com.wakanda-software.advanc.advanc] INFO - >buildInit() - mode :  release
2015-01-15 11:38:50 [com.wakanda-software.advanc.advanc] INFO - >buildInit() - minified core files detected - try to add package definition to storage
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - >buildInit() - added package definition to storage
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - <buildInit()
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - HTTP Server started
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - "advanc" project started
2015-01-15 11:38:51 [com.wakanda-software.advanc.ServerAdmin] INFO - Executes the bootstrap file(s)
2015-01-15 11:38:51 [com.wakanda-software.advanc.ServerAdmin] INFO - Bootstrap file(s) executed
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - Executes the bootstrap file(s)
2015-01-15 11:38:51 [com.wakanda-software.advanc.advanc] INFO - Bootstrap file(s) executed
2015-01-15 11:38:51 [com.wakanda-software.advanc] INFO - "advanc" solution started
2015-01-15 11:38:51 [com.wakanda-software] INFO - "advanc" solution has been successfully opened for running (duration: 5985 ms)
2015-01-15 11:38:51 [com.wakanda-software.supervisor] INFO - solution opened
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.js no change on TS : 2014-10-22T13:02:18.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/css/widget-button.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/css/widget-richText.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:43:33 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/widget-navigationView.js no change on TS : 2014-10-08T14:53:42.000Z
